OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AK,USGS Alaska Water Science Center,CAX01-15024670,ISKUT R AT O OF KINASKAN LAKE BC,Stream,,,496,sq mi,,,57.53306269000000,-130.2094944000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15024684,MORE C NR MOUTH BC,Stream,,,333,sq mi,,,57.04053998000000,-130.4030988000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15024690,FORREST KERR C NR WRANGELL BC,Stream,,,116,sq mi,,,56.91524670000000,-130.7225418000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15024695,ISKUT R AB SNIPPAKER CREEK BC,Stream,,,2850,sq mi,,,56.69828820000000,-130.8747640000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15024700,ISKUT R BL JOHNSON R BC,Stream,,,3670,sq mi,,,56.73858180000000,-131.6753237000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15041000,SLOKO R NR ATLIN BC,Stream,,,116,sq mi,,,59.10525830000000,-133.6628838000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15041100,TAKU R NR TULSEQUAH BC,Stream,,,5950,sq mi,,,58.63858050000000,-133.5420205000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15119980,SEKULMUN R AT O SEKULMAN LK NR AISHIHIK YT,Stream,,,477,sq mi,,,61.56358560000000,-137.5344230000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15119994,GILTANA C NR MOUTH NR AISHIHIK YT,Stream,,,73.2,sq mi,,,61.19690860000000,-136.9802425000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15120000,AISHIHIK R NR WHITEHORSE YT,Stream,,,1660,sq mi,,,60.86078458000000,-137.0629940000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15120005,MARSHALL C NR HAINES JCT YT,Stream,,,61.8,sq mi,,,60.84967500000000,-137.3518682000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15120200,KATHLEEN R NR HAINES JCT YT,Stream,,,248,sq mi,,,60.59272050000000,-137.2310257000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15120500,DEZADEASH R AT HAINES JUNCTION YT,Stream,,,3280.00,sq mi,,,60.74800708000000,-137.5071304000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15120505,BEAR C NR HAINES JCT YT,Stream,,,27.4,sq mi,,,60.79967678000000,-137.6685143000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15120600,ALSEK R AB BATES R NR HAINES JCT YT,Stream,,,6270,sq mi,,,60.11884680000000,-137.9759445000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15120650,ALSEK R AB TWEEDSMUIR GLACIER NR PLEASANT CAMP BC,Stream,,,,,,,59.83472220000000,-137.9877778000000,250000,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15120720,TAKHANNE R NR HAINES JCT YT,Stream,,,145,sq mi,,,60.09686929000000,-136.9185283000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15120724,GRIBBLES C NR HAINES JCT YT,Stream,,,8.60,sq mi,,,60.29965219000000,-137.0351926000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15120730,TATSHENSHINI R NR DALTON POST YT,Stream,,,676,sq mi,,,60.11897220000000,-137.0846110000000,,.1,seconds,Reported.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15304520,LUBBOCK R NR ATLIN BC,Stream,,,701,sq mi,,,60.08083910000000,-133.8601900000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15304550,PINE C NR ATLIN BC,Stream,,,262,sq mi,,,59.56082580000000,-133.6673623000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15304600,ATLIN R NR ATLIN BC,Stream,,,2650,sq mi,,,59.59888030000000,-133.8151488000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15304650,WANN R NR ATLIN BC,Stream,,,102,sq mi,,,59.43164680000000,-134.2073730000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15304700,FANTAIL R AT O OF FANTAIL LK NR ATLIN BC,Stream,,,260,sq mi,,,59.59415207000000,-134.3924044000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15304750,TUTSHI R AT O OF TUTSHI LK NR ATLIN BC,Stream,,,382,sq mi,,,59.94639088000000,-134.3266060000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15304800,LINDEMAN R NR BENNETT BC,Stream,,,85.7,sq mi,,,59.83638350000000,-135.0141488000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15304850,WHEATON R NR CARCROSS YT,Stream,,,334,sq mi,,,60.13444700000000,-134.8977675000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15304855,WATSON R NR CARCROSS YT,Stream,,,445,sq mi,,,60.21639509000000,-134.7324838000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15304920,TAGISH C NR CARCROSS YT,Stream,,,29.7,sq mi,,,60.29195277000000,-134.3018973000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15304950,MACLINTOCK R NR WHITEHORSE YT,Stream,,,663,sq mi,,,60.61223120000000,-134.4594122000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305000,YUKON R AT WHITEHORSE YT,Stream,,,7490,sq mi,,,60.71360380000000,-135.0449736000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305030,TAKHINI R AT KUSAWA LK NR WHITEHORSE YT,Stream,,,1570,sq mi,,,60.61245890000000,-136.1257915000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305040,MENDENHALL R NR CHAMPAGNE YT,Stream,,,297.00,sq mi,,,60.78301410000000,-136.2852428000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305046,IBEX R NR WHITEHORSE YT,Stream,,,250,sq mi,,,60.72575000000000,-135.4863056000000,,.1,seconds,Reported.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305050,TAKHINI R NR WHITEHORSE YT,Stream,,,2720,sq mi,,,60.85191980000000,-135.7410853000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305100,YUKON R AB FRANK C NR CARMACKS YT,Stream,,,11950,sq mi,,,61.43417420000000,-135.1902915000000,250000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305150,SWIFT R NR SWIFT R BC,Stream,,,1310,sq mi,,,59.93031957000000,-131.7695857000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305200,GLADYS R AT O OF GLADYS LK NR ATLIN BC,Stream,,,708,sq mi,,,59.90529400000000,-132.9157040000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305230,MORELY R AT KM 1251 ALASKA HWY NR MORELY RIVER YT,Stream,,,610,sq mi,,,60.00694440000000,-132.1443889000000,,.1,seconds,Reported.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305235,SIDNEY C AT CANOL ROAD NR JOHNSONS CROSSING YT,Stream,,,151,sq mi,,,60.78448457000000,-133.0560525000000,250000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305240,NISUTLIN R AB WOLF R NR TESLIN YT,Stream,,,3060,sq mi,,,60.34281540000000,-132.5465660000000,250000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305250,TESLIN R NR TESLIN YT,Stream,,,11590,sq mi,,,60.48502600000000,-133.3029788000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305260,TESLIN R NR WHITEHORSE YT,Stream,,,13520,sq mi,,,61.49002008000000,-134.7783509000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305285,S BIG SALMON R BL LIVINGSTONE CREEK YT,Stream,,,201,sq mi,,,61.38586040000000,-134.3727849000000,250000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305300,BIG SALMON R NR CARMACKS YT,Stream,,,2640,sq mi,,,61.87253018000000,-134.8353227000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305305,DRURY C AT KM 469 ROBERT CAMPBELL HWY NR FARO YT,Stream,,,212,sq mi,,,62.20016667000000,-134.3878889000000,,.1,seconds,Reported.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305350,YUKON R AT CARMACKS YT,Stream,,,31380,sq mi,,,62.09556060000000,-136.2736643000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305352,NORDENSKIOLD R BL ROWLINSON C NR CARMACKS YT,Stream,,,2470,sq mi,,,62.04972560000000,-136.2811605000000,250000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305360,BIG C NR MOUTH NR MINTO YT,Stream,,,693,sq mi,,,62.56834288000000,-137.0181432000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305380,RIDDELL C NR ROSS RIVER YT,Stream,,,25.50,sq mi,,,62.68319720000000,-131.1186793000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305385,180 MILE C NR ROSS R YT,Stream,,,38.60,sq mi,,,62.29983949000000,-131.6853220000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305390,ROSS R AT ROSS RIVER YT,Stream,,,2820,sq mi,,,61.99425859000000,-132.3797500000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305400,PELLY R AT ROSS RIVER YT,Stream,,,7080,sq mi,,,61.98647890000000,-132.4503057000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305405,VANGORDA C AT FARO YT,Stream,,,28.60,sq mi,,,62.23313087000000,-133.3853367000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305406,PELLY R AT FARO YT,Stream,,,8470,sq mi,,,62.22201956000000,-133.3797802000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305411,S MACMILLAN R NR ROSS RIVER YT,Stream,,,73.40,sq mi,,,63.09989710000000,-130.2020342000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305412,S MACMILLAN R AT CANOL ROAD NR ROSS RIVER YT,Stream,,,381,sq mi,,,62.92210660000000,-130.5353579000000,250000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305418,MACMILLAN R NR MOUTH NR PELLY CROSSING YT,Stream,,,5310,sq mi,,,62.89310137000000,-135.5120690000000,250000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305420,PELLY R AT PELLY CROSSING YT,Stream,,,18870,sq mi,,,62.82946829000000,-136.5826155000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305450,YUKON R AB WHITE R NR DAWSON YT,Stream,,,57770,sq mi,,,63.08360690000000,-139.4965749000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305500,KLUANE R AT O OF KLUANE LK YT,Stream,,,2350,sq mi,,,61.42663800000000,-139.0507851000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305502,DUKE R NR MOUTH NR BURWASH LANDING YT,Stream,,,253,sq mi,,,61.35996980000000,-139.1582782000000,250000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305520,DONJEK R BL KLUANE R NR KOIDERN YT,Stream,,,5120,sq mi,,,62.08190928000000,-139.8617728000000,250000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305524,NISLING R BL ONION C NR BURWASH LANDING YT,Stream,,,3050,sq mi,,,62.20805560000000,-139.0486110000000,,.1,seconds,Reported.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305540,WHITE R AT ALASKA HWY NR KOIDERN YT,Stream,,,2340,sq mi,,,61.97770330000000,-140.5548944000000,250000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305545,DRY C NO 2 NR BEAVER CREEK YT,Stream,,,42.3,sq mi,,,62.16630220000000,-140.6688153000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305555,BEAVER R BL MATSON C NR ELSA YT,Stream,,,1840,sq mi,,,64.01500000000000,-134.1391944000000,,.1,seconds,Reported.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305560,HESS R AB EMERALD C NR MAYO YT,Stream,,,1880,sq mi,,,63.33042800000000,-131.5020670000000,250000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305582,STEWART R AB FRASER FALLS NR MAYO YT,Stream,,,11230,sq mi,,,63.48784920000000,-135.1371180000000,250000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305590,STEWART R AT MAYO YT,Stream,,,12240,sq mi,,,63.59033680000000,-135.8987970000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305620,STEWART R AT STEWART CROSSING YT,Stream,,,13650,sq mi,,,63.38198350000000,-136.6851687000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305625,MCQUESTEN R NR MOUTH NR MCQUESTEN YT,Stream,,,1840,sq mi,,,63.61087040000000,-137.2715836000000,250000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305650,STEWART R AT MOUTH YT,Stream,,,19700,sq mi,,,63.28167017000000,-139.2510307000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305670,YUKON R AT STEWART YT,Stream,,,95990,sq mi,,,63.31139020000000,-139.4307625000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305673,SIXTYMILE R NR DAWSON YT,Stream,,,174.00,sq mi,,,63.98302680000000,-140.8022498000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305676,INDIAN R AB MOUTH NR DAWSON YT,Stream,,,854,sq mi,,,63.77084050000000,-139.6313700000000,250000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305688,L S KLONDIKE R BL ROSS C NR MCQUESTEN YT,Stream,,,331,sq mi,,,63.99559859000000,-137.5744048000000,250000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305692,GRIZZLY C NR DAWSON YT,Stream,,,13.2,sq mi,,,64.39976468000000,-138.3022375000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305693,WOLF C NR DAWSON YT,Stream,,,22.40,sq mi,,,64.36642940000000,-138.3855689000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305695,N KLONDIKE R NR MOUTH NR DAWSON YT,Stream,,,420,sq mi,,,64.02086290000000,-138.5849803000000,250000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305698,KLONDIKE R AB BONANZA C NR DAWSON YT,Stream,,,3020,sq mi,,,64.04251730000000,-139.4100012000000,250000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15305700,YUKON R AT DAWSON YT,Stream,,,102500,sq mi,,,64.06973987000000,-139.4272264000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,97,000,,,,,,,,,,NWIS
